Frames,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
10,,,"[575.0, 339.0]",,,,,,,,,,,"[453.0, 408.0]","[420.0, 383.0]","[455.0, 357.0]","[772.0, 326.0]","[429.0, 326.0]","[133.0, 270.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,"[579.0, 345.0]",,,,,,,,,,,,,,,"[424.0, 345.0]","[136.0, 270.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,"[586.0, 351.0]",,,,,,,,,,,,,,,,"[134.0, 269.0]","[404.0, 447.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,"[596.0, 359.0]",,,,,,,,,,,,,,,,,,"[772.0, 324.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,"[598.0, 367.0]",,,,,,,,,,,,,,,,,,,"[947.0, 256.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,"[601.0, 367.0]",,,,,,,,,,,,,,,,,,,,"[455.0, 397.0]","[71.0, 391.0]","[759.0, 311.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,"[608.0, 382.0]",,,,,,,,,,,,,,,,,,,,,"[80.0, 385.0]",,"[844.0, 425.0]","[132.0, 268.0]","[864.0, 261.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,"[618.0, 391.0]",,,,,,,,,,,,,,,,,,,,,"[93.0, 376.0]",,,"[133.0, 268.0]",,"[33.0, 414.0]","[773.0, 322.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,"[625.0, 400.0]",,,,,,,,,,,,,,,,,,,,,,,,"[125.0, 267.0]",,,"[778.0, 325.0]","[851.0, 429.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,"[628.0, 404.0]",,,,,,,,,,,,,,,,,,,,,,,,"[133.0, 267.0]",,,"[778.0, 327.0]",,"[23.0, 419.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,"[636.0, 416.0]",,,,,,,,,,,,,,,,,,,,,,,,"[130.0, 267.0]",,,"[774.0, 324.0]",,"[24.0, 418.0]","[864.0, 259.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,"[646.0, 429.0]",,,,,,,,,,,,,,,,,,,,,,,,"[122.0, 266.0]",,,"[777.0, 325.0]",,,,"[843.0, 421.0]","[808.0, 398.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,"[657.0, 444.0]",,,,,,,,,,,,,,,,,,,,,,,,"[125.0, 266.0]",,,"[780.0, 324.0]",,,,,"[808.0, 399.0]","[54.0, 273.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,"[667.0, 459.0]",,,,,,,,,,,,,,,,,,,,,,,,"[130.0, 267.0]",,,"[778.0, 323.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,"[682.0, 476.0]",,,,,,,,,,,,,,,,,,,,,,,,"[135.0, 265.0]",,,"[772.0, 319.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,"[697.0, 494.0]",,,,,,,,,,,,,,,,,,,,,,,,"[135.0, 265.0]",,,"[778.0, 323.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,"[709.0, 505.0]",,,,,,,,,,,,,,,,,,,,,,,,"[131.0, 264.0]",,,"[776.0, 322.0]",,,,,,,"[405.0, 434.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,"[722.0, 516.0]",,,,,,,,,,,,,,,,,,,,,,,,"[137.0, 264.0]",,,"[773.0, 321.0]",,,,,,,,"[54.0, 279.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,"[742.0, 526.0]",,,,,,,,,,,,,,,,,,,,,,,,"[137.0, 263.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,"[137.0, 263.0]",,,,,,,,,,,,"[461.0, 422.0]","[779.0, 322.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,"[145.0, 261.0]",,,,,,,,,,,,"[457.0, 420.0]","[772.0, 316.0]","[862.0, 256.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,"[150.0, 260.0]",,,,,,,,,,,,"[457.0, 428.0]","[779.0, 321.0]",,"[947.0, 484.0]","[466.0, 463.0]","[459.0, 356.0]","[457.0, 308.0]","[936.0, 273.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,"[138.0, 262.0]",,,,,,,,,,,,,"[772.0, 315.0]",,,"[465.0, 465.0]","[461.0, 349.0]",,"[935.0, 272.0]","[888.0, 522.0]","[673.0, 269.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,"[151.0, 257.0]",,,,,,,,,,,,,"[776.0, 321.0]",,,"[468.0, 462.0]","[459.0, 340.0]",,,,"[676.0, 267.0]","[404.0, 501.0]","[457.0, 423.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,"[147.0, 258.0]",,,,,,,,,,,,,"[782.0, 324.0]",,,,,,,,"[670.0, 270.0]","[406.0, 503.0]",,"[458.0, 309.0]","[57.0, 279.0]","[872.0, 256.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,"[132.0, 260.0]",,,,,,,,,,,,,"[778.0, 321.0]",,,,,,,,"[674.0, 267.0]",,,"[459.0, 326.0]","[48.0, 275.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,"[127.0, 258.0]",,,,,,,,,,,,,"[782.0, 324.0]",,,,,,,,"[685.0, 265.0]",,,"[459.0, 348.0]","[57.0, 277.0]",,"[458.0, 298.0]","[8.0, 285.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,"[128.0, 259.0]",,,,,,,,,,,,,"[774.0, 316.0]",,,,,,,,,,,"[458.0, 335.0]","[61.0, 277.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,"[127.0, 258.0]",,,,,,,,,,,,,"[774.0, 315.0]",,,,,,,,,,,"[458.0, 333.0]","[61.0, 277.0]",,,,"[8.0, 284.0]","[674.0, 266.0]","[751.0, 263.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[779.0, 319.0]",,,,,,,,,,,,"[60.0, 276.0]",,,,"[11.0, 285.0]","[674.0, 267.0]",,"[932.0, 269.0]","[424.0, 260.0]","[155.0, 256.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[775.0, 316.0]",,,,,,,,,,,,"[47.0, 279.0]",,,,,"[671.0, 269.0]",,,,,"[751.0, 263.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[778.0, 317.0]",,,,,,,,,,,,"[45.0, 280.0]",,,,,"[685.0, 265.0]",,,,,,"[460.0, 458.0]","[459.0, 342.0]","[425.0, 259.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[782.0, 319.0]",,,,,,,,,,,,"[49.0, 278.0]",,,,,"[685.0, 266.0]",,,,,,,,"[427.0, 257.0]","[27.0, 406.0]","[744.0, 262.0]","[572.0, 258.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[779.0, 318.0]",,,,,,,,,,,,,,,,,"[685.0, 264.0]",,,,,,,,,"[38.0, 399.0]","[738.0, 263.0]","[574.0, 259.0]","[120.0, 259.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[780.0, 319.0]",,,,,,,,,,,,,,,,,"[707.0, 264.0]",,,,,,,,,"[41.0, 397.0]",,"[575.0, 261.0]","[130.0, 256.0]","[936.0, 269.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[778.0, 315.0]",,,,,,,,,,,,,,,,,"[710.0, 262.0]",,,,,,,,,"[19.0, 410.0]",,"[576.0, 259.0]",,,"[42.0, 278.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[781.0, 317.0]",,,,,,,,,,,,,,,,,"[704.0, 263.0]",,,,,,,,,"[35.0, 400.0]",,"[578.0, 260.0]",,,,"[459.0, 342.0]","[430.0, 258.0]","[123.0, 258.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[790.0, 317.0]",,,,,,,,,,,,,,,,,"[710.0, 263.0]",,,,,,,,,"[41.0, 396.0]",,"[580.0, 263.0]",,,,,"[430.0, 257.0]",,"[33.0, 277.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[787.0, 317.0]",,,,,,,,,,,,,,,,,"[710.0, 261.0]",,,,,,,,,"[42.0, 395.0]",,"[582.0, 264.0]",,,,,"[430.0, 256.0]",,,"[459.0, 336.0]","[129.0, 256.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[779.0, 315.0]",,,,,,,,,,,,,,,,,"[690.0, 261.0]",,,,,,,,,"[27.0, 404.0]",,"[583.0, 266.0]",,,,,,,,"[459.0, 336.0]","[127.0, 256.0]","[463.0, 397.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[781.0, 316.0]",,,,,,,,,,,,,,,,,"[688.0, 261.0]",,,,,,,,,"[46.0, 392.0]",,"[585.0, 267.0]",,,,,,,,"[459.0, 335.0]",,,"[539.0, 267.0]","[37.0, 274.0]","[741.0, 261.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[792.0, 317.0]",,,,,,,,,,,,,,,,,"[686.0, 261.0]",,,,,,,,,,,"[588.0, 270.0]",,,,,,,,"[460.0, 337.0]",,,"[540.0, 270.0]","[13.0, 279.0]",,"[900.0, 524.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[791.0, 315.0]",,,,,,,,,,,,,,,,,"[688.0, 260.0]",,,,,,,,,,,"[590.0, 271.0]",,,,,,,,"[460.0, 337.0]",,,"[541.0, 273.0]",,,,"[119.0, 256.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[780.0, 312.0]",,,,,,,,,,,,,,,,,"[695.0, 260.0]",,,,,,,,,,,"[592.0, 273.0]",,,,,,,,"[460.0, 334.0]",,,"[543.0, 275.0]",,,,,"[12.0, 278.0]","[58.0, 271.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[792.0, 317.0]",,,,,,,,,,,,,,,,,"[689.0, 260.0]",,,,,,,,,,,"[595.0, 276.0]",,,,,,,,"[460.0, 335.0]",,,"[545.0, 278.0]",,,,,"[13.0, 278.0]","[60.0, 270.0]","[460.0, 406.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[778.0, 310.0]",,,,,,,,,,,,,,,,,"[687.0, 260.0]",,,,,,,,,,,"[600.0, 279.0]",,,,,,,,"[460.0, 336.0]",,,"[547.0, 281.0]",,,,,"[13.0, 278.0]","[62.0, 270.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[780.0, 311.0]",,,,,,,,,,,,,,,,,"[685.0, 261.0]",,,,,,,,,,,"[602.0, 281.0]",,,,,,,,"[462.0, 342.0]",,,"[549.0, 284.0]",,,,,,,,"[479.0, 461.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[787.0, 317.0]",,,,,,,,,,,,,,,,,"[677.0, 261.0]",,,,,,,,,,,"[603.0, 283.0]",,,,,,,,"[461.0, 340.0]",,,"[552.0, 288.0]",,,,,,,,,"[13.0, 277.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[607.0, 285.0]",,,,,,,,"[461.0, 339.0]",,,"[554.0, 291.0]",,,,,,,,,"[13.0, 277.0]","[900.0, 522.0]","[465.0, 416.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
